crop,harvest_area_km2,upper_bound_mt,lower_bound_mt,envelope_width_mt
bana,5606.509009009009,880345.1845443711,8.063717491289946,880337.1208268797
bana,5762.24537037037,883412.7243747294,8.428013050912979,883404.2963616785
bana,5917.981731731732,886365.0576865509,8.792308285625477,886356.2653782653
bana,6073.718093093093,889244.8718507296,9.156603520337976,889235.7152472092
bana,6229.454454454454,892046.5577451367,9.520898755050474,892037.0368463816
bana,6385.190815815816,894789.1957284543,9.885193989762975,894779.3105344645
bana,6540.927177177177,897437.5743562261,10.249489224475475,897427.3248670016
bana,6696.663538538539,900002.1186977881,10.613784459187974,899991.5049133289
bana,6852.3998998998995,902490.7854249966,10.978079693900472,902479.8073453028
bana,7008.136261261261,904883.4858005514,11.342374928612971,904872.1434256227
bana,7163.872622622623,907209.2559629661,11.706670163325471,907197.5492928028
bana,7319.608983983984,909476.9139616952,12.075327324964162,909464.8386343702
bana,7475.345345345346,911675.4920720853,12.454575384206645,911663.0374967011
bana,7631.081706706706,913833.8482993536,12.850605356763145,913820.9976939969
bana,7786.818068068068,915931.4706085597,13.253622813428274,915918.2169857463
bana,7942.55442942943,917988.3045364134,13.669444777690243,917974.6350916357
bana,8098.290790790791,919976.59553877,14.104647020836918,919962.4908917492
bana,8254.027152152152,921921.0332179123,14.541866549372488,921906.4913513629
bana,8409.763513513513,923816.9054978486,14.989080461637899,923801.916417387
bana,8565.499874874875,925672.8680857795,15.442720043745256,925657.4253657358
bana,8721.236236236236,927474.377039514,15.914881362178972,927458.4621581518
bana,8876.972597597598,929227.6752496823,16.40603128705618,929211.2692183952
bana,9032.70895895896,930934.6933794221,16.9262170059907,930917.7671624161
bana,9188.445320320321,932590.0020608581,17.46046368514972,932572.541597173
bana,9344.18168168168,934203.66206035,17.998278911140527,934185.6637814388
bana,9499.918043043042,935789.8767507928,18.538663063542668,935771.3380877293
bana,9655.654404404404,937365.2909848966,19.084331146605415,937346.20665375
bana,9811.390765765766,938918.4879110907,19.630773130125814,938898.8571379606
bana,9967.127127127127,940441.3877710516,20.177215113646213,940421.210555938
bana,10122.863488488489,941945.4221729344,20.723657097166612,941924.6985158372
bana,10278.59984984985,943422.3999242606,21.27009908068701,943401.1298251799
bana,10434.336211211212,944865.4060392344,21.81654106420741,944843.5894981702
bana,10590.072572572573,946278.6046290098,22.36298304772781,946256.2416459621
bana,10745.808933933933,947660.1002359353,22.9094250312482,947637.190810904
bana,10901.545295295295,949021.6301906209,23.459456439012346,948998.1707341819
bana,11057.281656656656,950369.3667585282,24.019996802180007,950345.346761726
bana,11213.018018018018,951688.1009357149,24.594292601637825,951663.5066431132
bana,11368.75437937938,952980.5140266502,25.19652146506321,952955.3175051851
bana,11524.49074074074,954249.0612083334,25.82959872533827,954223.231609608
bana,11680.227102102102,955492.8903117706,26.48152552641613,955466.4087862442
bana,11835.963463463464,956716.1687057029,27.181237559966366,956688.9874681429
bana,11991.699824824826,957919.4903034202,27.90960334126916,957891.580700079
bana,12147.436186186185,959113.4319332285,28.638193810694155,959084.7937394178
bana,12303.172547547547,960289.0964294043,29.366784280119152,960259.7296451242
bana,12458.908908908908,961452.6709381288,30.095685544435987,961422.5752525844
bana,12614.64527027027,962599.3146175037,30.83423996724828,962568.4803775364
bana,12770.381631631632,963724.3159535921,31.60245996903801,963692.7134936231
bana,12926.117992992993,964828.6160946906,32.38982977346496,964796.2262649172
bana,13081.854354354355,965916.0643540483,33.19336067636963,965882.8709933719
bana,13237.590715715716,966982.1525079716,34.01018963143177,966948.1423183401
bana,13393.327077077078,968027.0170315445,34.85739052527218,967992.1596410192
bana,13549.063438438438,969055.3018423725,35.73148941941324,969019.5703529532
bana,13704.799799799799,970070.6577011693,36.61741246320782,970034.0402887061
bana,13860.53616116116,971071.4049876968,37.52454787653497,971033.8804398202
bana,14016.272522522522,972060.6103291936,38.435286831864566,972022.1750423618
bana,14172.008883883884,973038.0601920937,39.346025787194165,972998.7141663065
bana,14327.745245245245,974006.668645192,40.256764742523764,973966.4118804495
bana,14483.481606606607,974963.8908188799,41.17199034063403,974922.7188285392
bana,14639.217967967968,975907.3425200946,42.10754064637826,975865.2349794483
bana,14794.95432932933,976836.9439278679,43.069581954889564,976793.8743459131
